CPX	DEL	DUP	INS	INV
CMC.all	12	12	26	4	82
CMC.all.over1Mb	12	12	26	4	82
CMC.CMC-HBCC-ACC-DNA-4235	2	0	0	0	4
CMC.CMC-HBCC-ACC-DNA-4245	1	0	0	0	4
CMC.CMC-HBCC-ACC-DNA-4265	2	0	0	0	2
CMC.CMC-HBCC-ACC-DNA-5591	1	0	0	0	4
CMC.CMC-HBCC-ACC-DNA-5757	2	0	0	0	5
CMC.CMC-HBCC-ACC-DNA-5785	3	0	0	0	3
CMC.CMC-HBCC-DNA-ACC-4021	1	0	0	0	2
CMC.CMC-HBCC-DNA-ACC-4023	3	0	0	0	4
CMC.CMC-HBCC-DNA-ACC-4025	1	0	0	0	3
CMC.CMC-HBCC-DNA-ACC-4027	1	0	0	0	4
CMC.CMC-HBCC-DNA-ACC-4029	3	0	0	0	5
CMC.CMC-HBCC-DNA-ACC-4031	1	0	0	0	2
CMC.CMC-HBCC-DNA-ACC-4033	3	0	0	0	4
CMC.CMC-HBCC-DNA-ACC-4035	2	0	0	0	4
CMC.CMC-HBCC-DNA-ACC-4037	3	0	0	0	4
CMC.CMC-HBCC-DNA-ACC-4039	3	0	0	0	3
CMC.CMC-HBCC-DNA-ACC-4042	2	0	0	0	4
CMC.CMC-HBCC-DNA-ACC-4044	3	0	0	0	4
CMC.CMC-HBCC-DNA-ACC-4046	2	0	0	0	3
CMC.CMC-HBCC-DNA-ACC-4048	2	0	0	0	3
CMC.CMC-HBCC-DNA-ACC-4051	2	0	0	0	4
CMC.CMC-HBCC-DNA-ACC-4053	2	0	0	0	4
CMC.CMC-HBCC-DNA-ACC-4055	3	0	0	0	4
CMC.CMC-HBCC-DNA-ACC-4057	1	0	0	0	3
CMC.CMC-HBCC-DNA-ACC-4059	3	0	0	0	3
CMC.CMC-HBCC-DNA-ACC-4061	1	0	0	0	2
CMC.CMC-HBCC-DNA-ACC-4063	1	0	0	0	5
CMC.CMC-HBCC-DNA-ACC-4065	1	0	0	0	3
CMC.CMC-HBCC-DNA-ACC-4067	3	0	0	0	3
CMC.CMC-HBCC-DNA-ACC-4069	1	0	0	0	4
CMC.CMC-HBCC-DNA-ACC-4072	1	0	0	0	3
CMC.CMC-HBCC-DNA-ACC-4074	3	0	0	0	3
CMC.CMC-HBCC-DNA-ACC-4076	2	0	0	0	3
CMC.CMC-HBCC-DNA-ACC-4078	2	0	0	0	5
CMC.CMC-HBCC-DNA-ACC-4080	3	0	0	0	3
CMC.CMC-HBCC-DNA-ACC-4082	3	0	0	0	4
CMC.CMC-HBCC-DNA-ACC-4084	2	0	0	0	3
CMC.CMC-HBCC-DNA-ACC-4087	2	0	0	0	2
CMC.CMC-HBCC-DNA-ACC-4089	2	0	0	0	4
CMC.CMC-HBCC-DNA-ACC-4091	2	0	0	0	2
CMC.CMC-HBCC-DNA-ACC-4095	1	0	0	0	3
CMC.CMC-HBCC-DNA-ACC-4097	2	0	0	0	3
CMC.CMC-HBCC-DNA-ACC-4099	3	0	0	0	3
CMC.CMC-HBCC-DNA-ACC-4101	1	1	0	0	3
CMC.CMC-HBCC-DNA-ACC-4104	2	0	0	0	3
CMC.CMC-HBCC-DNA-ACC-4106	2	0	0	0	6
CMC.CMC-HBCC-DNA-ACC-4109	1	0	0	0	3
CMC.CMC-HBCC-DNA-ACC-4111	2	0	0	0	4
CMC.CMC-HBCC-DNA-ACC-4113	3	0	0	0	4
CMC.CMC-HBCC-DNA-ACC-4115	1	0	0	0	3
CMC.CMC-HBCC-DNA-ACC-4117	2	0	0	0	3
