CPX_CPX	CPX_DEL	CPX_DUP	CPX_INS	CPX_INV	DEL_DEL	DEL_DUP	DEL_INS	DEL_INV	DUP_DUP	DUP_INS	DUP_INV	INS_INS	INS_INV	INV_INV
CMC.CMC-HBCC-ACC-DNA-4235	0	12	2	4	2	42	118	44	278	30	134	94	10	192	0
CMC.CMC-HBCC-ACC-DNA-4245	0	4	0	0	2	46	90	46	252	10	166	54	12	198	0
CMC.CMC-HBCC-ACC-DNA-4265	0	38	20	10	2	40	102	48	208	28	170	54	14	134	2
CMC.CMC-HBCC-ACC-DNA-5591	0	20	16	4	0	60	92	72	536	40	160	116	18	412	0
CMC.CMC-HBCC-ACC-DNA-5757	0	24	4	4	2	48	84	56	304	22	128	96	20	208	0
CMC.CMC-HBCC-ACC-DNA-5785	0	94	24	64	2	54	124	54	190	20	192	40	18	138	0
CMC.CMC-HBCC-DNA-ACC-4021	0	6	0	2	2	60	68	40	116	16	126	26	16	78	0
CMC.CMC-HBCC-DNA-ACC-4023	2	28	6	10	2	52	62	42	260	8	124	78	10	214	2
CMC.CMC-HBCC-DNA-ACC-4025	0	6	2	4	0	74	86	62	350	18	212	62	22	244	2
CMC.CMC-HBCC-DNA-ACC-4027	0	6	0	0	0	84	118	86	380	24	200	76	28	274	0
CMC.CMC-HBCC-DNA-ACC-4029	2	40	36	12	0	42	160	44	482	62	210	122	12	288	0
CMC.CMC-HBCC-DNA-ACC-4031	0	2	2	2	0	80	94	56	254	20	178	66	12	198	2
CMC.CMC-HBCC-DNA-ACC-4033	2	28	8	8	4	62	70	56	310	14	186	66	20	190	0
CMC.CMC-HBCC-DNA-ACC-4035	2	22	4	4	2	44	70	54	292	6	162	68	24	196	2
CMC.CMC-HBCC-DNA-ACC-4037	0	18	4	8	2	62	94	52	270	12	120	60	4	174	2
CMC.CMC-HBCC-DNA-ACC-4039	2	42	22	12	2	58	72	50	278	8	146	58	16	164	0
CMC.CMC-HBCC-DNA-ACC-4042	2	20	8	4	2	76	100	64	414	22	186	80	20	256	0
CMC.CMC-HBCC-DNA-ACC-4044	2	34	34	20	2	52	92	52	496	16	126	110	16	338	2
CMC.CMC-HBCC-DNA-ACC-4046	0	28	8	12	0	68	106	74	320	30	204	78	22	238	2
CMC.CMC-HBCC-DNA-ACC-4048	2	18	6	2	0	38	50	40	274	14	126	60	14	200	0
CMC.CMC-HBCC-DNA-ACC-4051	2	30	2	12	2	58	82	64	346	6	198	72	26	218	0
CMC.CMC-HBCC-DNA-ACC-4053	0	30	12	12	2	50	66	38	290	18	160	62	22	182	0
CMC.CMC-HBCC-DNA-ACC-4055	2	40	14	16	4	42	54	40	466	10	172	70	8	250	2
CMC.CMC-HBCC-DNA-ACC-4057	0	4	0	2	2	54	70	66	312	26	172	60	24	234	0
CMC.CMC-HBCC-DNA-ACC-4059	2	46	14	22	2	52	104	44	300	18	138	78	18	188	2
CMC.CMC-HBCC-DNA-ACC-4061	0	4	0	0	2	50	72	40	138	6	144	22	12	98	0
CMC.CMC-HBCC-DNA-ACC-4063	0	4	0	2	2	36	78	54	370	8	108	84	14	258	0
CMC.CMC-HBCC-DNA-ACC-4065	0	4	2	4	2	40	66	42	126	6	172	28	10	80	0
CMC.CMC-HBCC-DNA-ACC-4067	2	34	26	16	0	60	82	44	230	4	144	52	18	170	0
CMC.CMC-HBCC-DNA-ACC-4069	0	4	0	0	2	44	86	30	308	34	190	60	10	180	0
CMC.CMC-HBCC-DNA-ACC-4072	0	6	0	2	2	56	118	62	334	48	210	86	22	226	0
CMC.CMC-HBCC-DNA-ACC-4074	0	78	16	62	0	50	118	52	266	42	144	88	24	190	0
CMC.CMC-HBCC-DNA-ACC-4076	2	22	4	8	2	58	88	58	266	18	154	56	8	202	0
CMC.CMC-HBCC-DNA-ACC-4078	2	20	4	10	2	74	112	58	348	22	220	74	18	232	0
CMC.CMC-HBCC-DNA-ACC-4080	2	30	10	14	0	60	102	80	320	26	232	82	14	254	0
CMC.CMC-HBCC-DNA-ACC-4082	2	22	6	4	0	34	82	52	368	14	164	58	16	252	0
CMC.CMC-HBCC-DNA-ACC-4084	2	16	6	8	2	38	74	56	290	18	128	62	10	162	0
CMC.CMC-HBCC-DNA-ACC-4087	0	12	4	6	0	50	76	50	212	26	204	48	16	142	2
CMC.CMC-HBCC-DNA-ACC-4089	2	32	20	14	0	52	68	60	394	38	186	88	22	284	0
CMC.CMC-HBCC-DNA-ACC-4091	2	18	4	10	2	64	108	42	254	24	180	62	12	230	0
CMC.CMC-HBCC-DNA-ACC-4095	0	0	0	2	0	54	72	60	254	18	124	56	10	178	2
CMC.CMC-HBCC-DNA-ACC-4097	0	16	6	8	0	68	92	64	322	28	156	56	10	216	0
